    1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85            
  0 0.316535592 0.337945014 0.360823601 0.383125186 0.405580610 0.426035076 0.443995148 0.456683338 0.465392381 0.474106550 0.482377112 0.490451634 0.498430282 0.505248129 0.513120472 0.520198345 0.527458847 0.534731567 0.542292595 0.549167573 0.555689991 0.562500119 0.569171071 0.576002657 0.583657265 0.590538859 0.597666502 0.603924334 0.610756278 0.617945135 0.624761879 0.631774247 0.638117909 0.644708335 0.651355743 0.658111870 0.664749444 0.670621514 0.676310003 0.682229757 0.687436104 0.693576276 0.698842049 0.703735292 0.708331347 0.713405728 0.717364430 0.721917212 0.726069689 0.732224703 0.740853667 0.747901142 0.755507469 0.762443185 0.770224452 0.777899086 0.785867274 0.793889701 0.802016556 0.810178697 0.817939043 0.826131046 0.834814072 0.843231082 0.851893842 0.860189676 0.869061470 0.877725959 0.886075795 0.895123780 0.903700709 0.912820578 0.921229899 0.930164218 0.938483715 0.947003603 0.954928041 0.963021755 0.970926881 0.972182333 0.969520092 0.997142375 0.999083638 0.996129036 1.019954443   
  1 0.305396914 0.326085448 0.348194897 0.369750738 0.391458273 0.411237359 0.428611040 0.440888047 0.449314892 0.457747191 0.465751767 0.473567516 0.481291145 0.487894416 0.495516360 0.502371430 0.509403408 0.516447663 0.523770869 0.530431867 0.536752820 0.543352127 0.549817502 0.556438565 0.563855231 0.570525646 0.577434480 0.583503425 0.590127707 0.597097397 0.603708267 0.610508800 0.616663933 0.623058200 0.629508317 0.636064231 0.642506361 0.648209453 0.653735876 0.659486651 0.664548755 0.670514405 0.675635636 0.680397689 0.684873283 0.689812303 0.693673611 0.698110342 0.702160954 0.708167672 0.716588914 0.723485231 0.730927110 0.737725377 0.745347440 0.752872586 0.760688245 0.768563509 0.776547432 0.784573436 0.792218745 0.800291181 0.808848798 0.817158818 0.825717747 0.833932340 0.842717469 0.851314127 0.859619021 0.868615270 0.877169847 0.886266112 0.894689441 0.903640091 0.912011504 0.920596600 0.928622723 0.936833978 0.944883406 0.946481824 0.944282830 0.971608937 0.973943591 0.971525609 0.995257616   
  2 0.294740587 0.314741373 0.336117178 0.356962025 0.377956659 0.397092462 0.413908035 0.425794005 0.433952451 0.442116767 0.449868470 0.457438290 0.464919657 0.471319199 0.478703260 0.485347003 0.492162079 0.498989463 0.506086946 0.512544990 0.518674970 0.525074363 0.531344891 0.537766278 0.544957221 0.551427484 0.558128774 0.564018786 0.570446193 0.577208161 0.583623886 0.590223670 0.596200109 0.602408528 0.608671546 0.615037739 0.621294737 0.626837790 0.632210791 0.637801588 0.642727137 0.648527443 0.653511941 0.658149898 0.662511587 0.667322576 0.671091855 0.675418735 0.679373085 0.685239553 0.693464160 0.700217545 0.707503557 0.714171648 0.721642554 0.729025424 0.736695945 0.744430780 0.752277970 0.760173559 0.767708242 0.775665283 0.784101665 0.792307854 0.800765455 0.808899879 0.817599118 0.826127589 0.834385693 0.843328238 0.851856649 0.860924840 0.869355679 0.878315210 0.886729062 0.895368576 0.903483331 0.911797762 0.919975221 0.921890855 0.920123637 0.947153568 0.949851573 0.947933018 0.971559525   
  3 0.284552097 0.303897291 0.324573785 0.344741285 0.365056992 0.383580506 0.399865448 0.411379755 0.419283211 0.427192867 0.434704453 0.442040771 0.449292183 0.455498576 0.462656975 0.469100267 0.475709707 0.482331574 0.489214927 0.495480716 0.501429856 0.507639945 0.513725877 0.519958198 0.526935160 0.533215880 0.539720476 0.545441270 0.551682293 0.558247387 0.564478397 0.570888042 0.576695502 0.582727909 0.588813961 0.595000505 0.601082146 0.606473923 0.611701846 0.617141306 0.621937871 0.627581716 0.632436931 0.636957586 0.641211748 0.645901620 0.649584115 0.653807282 0.657670677 0.663404644 0.671443343 0.678061664 0.685200214 0.691745102 0.699072659 0.706320345 0.713852644 0.721453547 0.729170144 0.736940742 0.744369030 0.752214849 0.760534108 0.768639266 0.776997983 0.785053253 0.793667614 0.802127540 0.810336947 0.819223642 0.827722132 0.836758137 0.845189929 0.854151309 0.862598479 0.871282041 0.879472733 0.887876391 0.896165967 0.898374021 0.897008121 0.923741817 0.926773667 0.925319016 0.948828220   
  4 0.274817228 0.293537885 0.313548386 0.333071083 0.352740645 0.370681942 0.386462748 0.397624254 0.405285567 0.412953526 0.420237243 0.427352130 0.434385449 0.440408945 0.447353363 0.453606904 0.460021585 0.466448724 0.473129302 0.479213148 0.484991163 0.491022110 0.496933460 0.502986908 0.509761274 0.515862644 0.522181332 0.527742088 0.533806741 0.540185750 0.546241939 0.552471817 0.558119535 0.563985586 0.569904268 0.575920939 0.581836820 0.587085605 0.592176557 0.597473025 0.602147818 0.607643723 0.612376928 0.616786897 0.620939672 0.625515163 0.629115999 0.633241236 0.637018919 0.642627835 0.650490999 0.656981945 0.663981140 0.670409501 0.677601099 0.684720457 0.692121327 0.699594557 0.707186341 0.714837253 0.722163200 0.729901850 0.738107920 0.746114850 0.754376948 0.762354076 0.770884335 0.779275358 0.787434280 0.796263337 0.804728091 0.813727856 0.822154462 0.831110835 0.839582264 0.848299861 0.856554329 0.865033567 0.873420060 0.875896394 0.874902189 0.901339591 0.904676974 0.903651655 0.927032053   
  5 0.265521854 0.283648044 0.303024739 0.321934074 0.340989292 0.358377457 0.373679727 0.384506613 0.391938269 0.399376988 0.406444758 0.413349807 0.420176536 0.426027000 0.432768822 0.438842833 0.445073217 0.451316178 0.457804888 0.463716686 0.469333082 0.475194752 0.480941087 0.486825556 0.493408322 0.499340266 0.505483091 0.510892868 0.516790986 0.522994041 0.528885245 0.534945190 0.540442050 0.546151102 0.551911652 0.557767868 0.563527226 0.568641186 0.573602915 0.578764439 0.583324432 0.588680744 0.593298852 0.597604573 0.601661861 0.606129467 0.609653413 0.613686383 0.617383361 0.622874558 0.630572021 0.636943042 0.643810630 0.650128901 0.657191753 0.664189398 0.671465337 0.678816915 0.686289549 0.693825901 0.701053441 0.708688617 0.716785312 0.724696696 0.732864559 0.740764499 0.749211431 0.757533133 0.765639842 0.774409294 0.782836854 0.791796386 0.800211728 0.809156418 0.817643642 0.826385379 0.834691823 0.843233526 0.851702094 0.854423404 0.853772342 0.879913390 0.883529007 0.882899284 0.906139970   
  6 0.256652117 0.274212927 0.292986959 0.311313331 0.329784930 0.346647948 0.361496508 0.372006267 0.379220337 0.386441886 0.393305182 0.400011599 0.406642854 0.412329763 0.418879956 0.424784273 0.430840522 0.436909437 0.443216830 0.448966205 0.454430044 0.460131913 0.465722620 0.471447557 0.477849334 0.483621359 0.489598274 0.494865656 0.500606716 0.506643653 0.512379110 0.518278778 0.523633480 0.529194355 0.534805834 0.540510714 0.546122432 0.551109314 0.555949330 0.560983717 0.565435708 0.570660353 0.575170040 0.579377711 0.583345115 0.587711215 0.591162980 0.595109105 0.598730147 0.604110599 0.611651957 0.617910147 0.624653697 0.630868077 0.637809098 0.644691348 0.651848555 0.659084439 0.666443348 0.673869967 0.681002855 0.688538373 0.696529329 0.704347789 0.712423444 0.720247030 0.728611469 0.736863494 0.744916260 0.753624380 0.762011230 0.770926654 0.779324949 0.788251638 0.796746075 0.805502594 0.813849568 0.822441101 0.830977380 0.833921075 0.833585620 0.859430194 0.863297403 0.863031030 0.886121154   
  7 0.248194307 0.265217841 0.283419251 0.301192105 0.319109708 0.335474700 0.349893421 0.360102981 0.367111057 0.374127120 0.380796999 0.387315631 0.393762052 0.399294645 0.405663729 0.411407888 0.417299777 0.423204422 0.429340631 0.434936851 0.440256953 0.445808142 0.451252133 0.456826717 0.463057727 0.468679100 0.474499553 0.479632884 0.485225856 0.491106272 0.496695071 0.502443671 0.507664502 0.513085902 0.518556952 0.524119198 0.529591799 0.534459174 0.539184749 0.544099391 0.548449934 0.553550541 0.557958424 0.562073827 0.565957010 0.570227504 0.573611557 0.577476084 0.581025839 0.586302221 0.593696773 0.599848986 0.606475651 0.612592161 0.619418085 0.626191080 0.633235574 0.640361249 0.647611678 0.654933274 0.661975145 0.669414580 0.677303314 0.685031354 0.693016827 0.700764954 0.709047556 0.717229605 0.725226820 0.733871698 0.742214501 0.751082182 0.759457767 0.768360138 0.776853859 0.785615981 0.793992400 0.802621603 0.811211646 0.814355969 0.814309418 0.839857399 0.843950510 0.844016254 0.866945386   
  8 0.240134984 0.256648362 0.274306208 0.291553885 0.308946073 0.324839205 0.338851094 0.348776817 0.355590135 0.362411886 0.368899018 0.375240296 0.381512225 0.386899322 0.393097550 0.398690730 0.404427588 0.410177410 0.416152239 0.421604186 0.426789016 0.432198316 0.437504292 0.442937315 0.449007392 0.454486936 0.460160106 0.465167463 0.470621079 0.476354122 0.481804907 0.487411261 0.492506325 0.497796476 0.503135443 0.508563519 0.513905346 0.518660426 0.523278475 0.528080702 0.532335937 0.537319958 0.541632175 0.545661151 0.549465179 0.553645968 0.556966722 0.560754657 0.564237595 0.569416344 0.576672971 0.582725763 0.589242578 0.595266879 0.601984084 0.608653665 0.615591288 0.622612178 0.629759073 0.636980236 0.643934667 0.651281357 0.659071207 0.666711211 0.674608529 0.682282031 0.690483510 0.698595107 0.706535220 0.715115130 0.723410726 0.732227027 0.740574419 0.749446571 0.757931590 0.766690552 0.775085747 0.783740699 0.792371213 0.795695186 0.795911729 0.821162939 0.825457335 0.825824857 0.848583043   
  9 0.232460856 0.248490259 0.265632510 0.282382369 0.299276769 0.314723253 0.328350544 0.338008106 0.344637454 0.351275742 0.357590437 0.363764316 0.369871736 0.375121832 0.381158948 0.386610001 0.392200947 0.397805005 0.403627872 0.408944130 0.414001793 0.419277728 0.424453914 0.429753929 0.435672551 0.441018760 0.446553469 0.451442540 0.456765264 0.462359726 0.467680871 0.473153621 0.478130549 0.483297467 0.488512397 0.493814409 0.499033332 0.503683090 0.508200288 0.512897015 0.517063081 0.521937490 0.526160061 0.530108035 0.533838093 0.537934721 0.541196406 0.544912517 0.548332930 0.553420305 0.560547471 0.566507161 0.572920740 0.578858435 0.585473061 0.592044830 0.598881125 0.605802476 0.612850726 0.619975746 0.626846015 0.634103239 0.641797483 0.649351776 0.657162845 0.664762378 0.672883451 0.680924237 0.688805640 0.697319031 0.705564201 0.714325607 0.722639620 0.731475711 0.739944577 0.748691916 0.757095456 0.765764773 0.774422765 0.777906060 0.778360844 0.803315222 0.807786882 0.808427095 0.831004560   
